aah!
aha
ahem
ahh
ahh
argh
aww
aww
aw
bah
boo
boo!
boo-hoo
brr
d'oh
duh
eek
eep
eh?
eh?
eww
fuff
gah
gee
grr
hmm
humph
hah
haha
huh
hurrah
phew
ick
meh
mhm
mm
muahaha
mwah
nah
nuh-uh
oh
ooh-la-la
ooh
oomph
oops
ouch
oww
oy
oy
pew
pff
phew
psst
sheesh
shh
shoo
tsk-tsk
uh-huh
uh-oh
uh-uh
uhh
umm
waah
wee
whoa
wow
yahoo
yay
yeah
yee-haw
yikes
yoo-hoo
yuh-uh
yuck
whew
zing
