VERB
accept
accepted
accepting
accepts
add
added
adding
adds
admire
admired
admires
admiring
admit
admits
admitted
admitting
advise
advised
advises
advising
afford
afforded
affording
affords
agred
agree
agreeing
agrees
alert
alerted
alerting
alerts
allow
allowed
allowing
allows
amuse
amused
amuses
amusing
analyse
analysed
analyses
analysing
analyze
analyzed
analyzes
analyzing
announce
announced
announces
announcing
annoy
annoyed
annoying
annoys
answer
answered
answering
answers
apologies
apologise
apologised
apologising
appear
appeared
appearing
appears
applaud
applauded
applauding
applauds
appreciate
appreciated
appreciates
appreciating
approve
approved
approves
approving
argue
argued
argues
arguing
arrange
arranged
arranges
arranging
arrest
arrested
arresting
arrests
arrive
arrived
arrives
arriving
ask
asked
asking
attach
attached
attaching
attaches
attack
attacked
attacking
attacks
attempt
attempted
attempting
attempts
attend
attended
attending
attends
attract
attracted
attracting
attracts
avoid
avoided
avoiding
avoids
back
backed
backing
backs
bake
baked
bakes
baking
balance
balanced
balances
balancing
ban
banned
bang
banged
banging
bangs
baning
bans
bare
bared
bares
baring
bat
bated
bathe
bathed
bathes
bathing
bating
bats
battle
battled
battles
battling
beam
beamed
beaming
beams
beg
begged
beging
begs
behave
behaved
behaves
behaving
belong
belonged
belonging
belongs
bleach
bleached
bleaches
bleaching
bless
blessed
blesses
blessing
blind
blinded
blinding
blinds
blink
blinked
blinking
blinks
bloated
bloating
blot
blots
blush
blushed
blushes
blushing
boast
boasted
boasting
boasts
boil
boiled
boiling
boils
bolt
bolted
bolting
bolts
bomb
bombed
bombing
bombs
book
booked
booking
books
bore
bored
bores
boring
borrow
borrowed
borrowing
borrows
bounce
bounced
bounces
bouncing
bow
bowed
bowing
bows
box
boxed
boxing
boxs
brake
braked
brakes
braking
branch
branched
branches
branching
breathe
breathed
breathes
breathing
bruise
bruised
bruises
bruising
brush
brushed
brushes
brushing
bubble
bubbled
bubbles
bubbling
bump
bumped
bumping
bumps
buried
burn
burned
burning
burns
bury
burying
burys
buzz
buzzed
buzzing
buzzs
calculate
calculated
calculates
calculating
call
called
calling
calls
camp
camped
camping
camps
care
cared
cares
caring
carried
carry
carrying
carve
carved
carves
carving
cause
caused
causes
causing
challenge
challenged
challenges
challenging
change
changed
changeling
changes
charge
charged
charges
charging
chase
chased
chases
chasing
cheat
cheated
cheating
cheats
check
checked
checking
checks
chew
chewed
chewing
chews
choke
choked
chokes
choking
chop
chopped
chopping
chops
claim
claimed
claiming
claims
clap
clapped
clapping
claps
clean
cleaned
cleaning
cleans
clear
cleared
clearing
clears
clip
clipped
clipping
clips
close
closed
closes
closing
coach
coached
coaches
coaching
coil
coiled
coiling
coils
collect
collected
collecting
collects
colour
coloured
colouring
colours
comb
combed
combing
combs
communicate
communicated
communicates
communicating
compare
compared
compares
comparing
compete
competed
competes
